id_interaccion,id_usuario,fecha_hora,intencion,tono_agente,canal,duracion_segundos,satisfaccion_usuario,texto_resumen
128,51,2025-08-01 02:40:02,motivacion,directo,movil,596,4,Se recomendó practicar ejercicios de SQL.
129,3,2025-07-30 14:36:30,motivacion,didactico,movil,479,2,Se revisó avance del hito Python básico.
130,44,2025-08-31 20:35:33,consulta_hito,didactico,web,105,3,Se revisó avance del hito Python básico.
131,66,2025-06-27 06:20:50,seguimiento,directo,whatsapp,583,3,Se recomendó practicar ejercicios de SQL.
132,173,2025-06-01 23:13:49,diagnostico,empatico,email,115,5,Se sugirió priorizar Inglés B1 antes de ML.
133,38,2025-07-06 10:52:25,recomendacion,empatico,email,284,2,Se revisó avance del hito Python básico.
134,144,2025-08-13 19:08:08,consulta_hito,directo,whatsapp,486,2,Se recomendó practicar ejercicios de SQL.
135,171,2025-04-26 13:51:39,recomendacion,directo,movil,266,3,Se revisó avance del hito Python básico.
136,9,2025-07-06 18:10:37,diagnostico,empatico,whatsapp,556,4,Se sugirió priorizar Inglés B1 antes de ML.
137,8,2025-08-27 09:36:25,recomendacion,estrategico,email,414,5,Se recomendó practicar ejercicios de SQL.
138,128,2025-08-10 16:28:27,seguimiento,didactico,whatsapp,358,2,Se recomendó practicar ejercicios de SQL.
139,62,2025-09-20 18:14:16,recomendacion,didactico,whatsapp,417,4,Se ajustó orden de hitos por disponibilidad.
140,199,2025-10-16 11:18:01,seguimiento,empatico,email,228,3,Se revisó avance del hito Python básico.
141,21,2025-06-11 23:29:43,recomendacion,estrategico,whatsapp,37,5,Se explicó ruta de aprendizaje inicial.
142,147,2025-08-11 03:48:04,motivacion,estrategico,web,364,2,Se sugirió priorizar Inglés B1 antes de ML.
143,153,2025-05-29 14:02:43,recomendacion,estrategico,email,421,3,Se sugirió priorizar Inglés B1 antes de ML.
144,47,2025-05-18 00:43:15,consulta_hito,empatico,email,297,2,Se revisó avance del hito Python básico.
145,95,2025-05-20 06:59:01,recomendacion,directo,email,140,3,Se explicó ruta de aprendizaje inicial.
146,171,2025-07-16 00:48:48,motivacion,directo,movil,176,4,Se explicó ruta de aprendizaje inicial.
147,78,2025-08-05 05:08:36,recomendacion,directo,web,478,5,Se sugirió priorizar Inglés B1 antes de ML.
148,57,2025-09-29 00:52:36,consulta_hito,empatico,web,45,5,Se explicó ruta de aprendizaje inicial.
149,127,2025-08-20 13:37:02,consulta_hito,directo,web,96,3,Se ajustó orden de hitos por disponibilidad.
150,115,2025-05-10 01:59:11,motivacion,estrategico,whatsapp,175,2,Se recomendó practicar ejercicios de SQL.
151,169,2025-07-21 16:47:08,consulta_hito,didactico,email,280,3,Se sugirió priorizar Inglés B1 antes de ML.
152,13,2025-05-17 20:52:15,seguimiento,directo,movil,40,5,Se sugirió priorizar Inglés B1 antes de ML.
153,88,2025-05-31 12:34:45,consulta_hito,didactico,email,478,2,Se ajustó orden de hitos por disponibilidad.
154,111,2025-09-06 16:04:23,recomendacion,didactico,movil,214,4,Se explicó ruta de aprendizaje inicial.
155,29,2025-07-21 10:14:05,diagnostico,empatico,whatsapp,171,4,Se ajustó orden de hitos por disponibilidad.
156,17,2025-04-13 18:07:26,recomendacion,estrategico,web,52,1,Se revisó avance del hito Python básico.
157,124,2025-06-12 09:43:52,consulta_hito,empatico,whatsapp,205,3,Se sugirió priorizar Inglés B1 antes de ML.
158,170,2025-06-18 21:15:27,diagnostico,didactico,web,323,2,Se ajustó orden de hitos por disponibilidad.
159,178,2025-05-22 03:17:54,consulta_hito,didactico,web,521,2,Se explicó ruta de aprendizaje inicial.
160,51,2025-05-21 10:34:12,consulta_hito,didactico,whatsapp,374,2,Se ajustó orden de hitos por disponibilidad.
161,199,2025-09-02 23:09:28,consulta_hito,empatico,movil,511,2,Se recomendó practicar ejercicios de SQL.
162,33,2025-08-27 06:30:07,motivacion,estrategico,movil,255,2,Se revisó avance del hito Python básico.
163,39,2025-09-23 03:10:00,consulta_hito,directo,movil,16,3,Se recomendó practicar ejercicios de SQL.
164,122,2025-06-29 10:42:18,recomendacion,directo,movil,247,4,Se sugirió priorizar Inglés B1 antes de ML.
165,23,2025-10-18 05:06:51,recomendacion,empatico,email,421,1,Se explicó ruta de aprendizaje inicial.
166,142,2025-09-29 12:13:10,diagnostico,directo,email,524,1,Se ajustó orden de hitos por disponibilidad.
167,41,2025-06-20 20:11:38,seguimiento,empatico,web,29,4,Se explicó ruta de aprendizaje inicial.
168,40,2025-09-05 03:54:57,diagnostico,estrategico,movil,586,5,Se revisó avance del hito Python básico.
169,181,2025-05-09 00:28:15,seguimiento,didactico,whatsapp,561,3,Se sugirió priorizar Inglés B1 antes de ML.
170,123,2025-06-20 23:55:47,recomendacion,didactico,whatsapp,149,2,Se revisó avance del hito Python básico.
171,56,2025-06-02 12:50:42,consulta_hito,directo,web,123,5,Se recomendó practicar ejercicios de SQL.
172,65,2025-06-03 00:03:08,recomendacion,directo,movil,197,3,Se sugirió priorizar Inglés B1 antes de ML.
173,15,2025-08-28 15:06:21,consulta_hito,estrategico,movil,395,1,Se sugirió priorizar Inglés B1 antes de ML.
174,63,2025-10-07 03:35:31,consulta_hito,empatico,web,559,1,Se recomendó practicar ejercicios de SQL.
175,102,2025-10-12 04:38:51,recomendacion,empatico,movil,21,4,Se recomendó practicar ejercicios de SQL.
176,59,2025-07-31 14:44:43,diagnostico,estrategico,movil,28,1,Se revisó avance del hito Python básico.
177,199,2025-08-31 20:50:20,consulta_hito,didactico,web,535,3,Se sugirió priorizar Inglés B1 antes de ML.
178,59,2025-10-05 02:32:52,recomendacion,didactico,web,336,3,Se sugirió priorizar Inglés B1 antes de ML.
179,12,2025-08-22 14:41:02,recomendacion,estrategico,web,193,1,Se recomendó practicar ejercicios de SQL.
180,23,2025-09-17 11:19:08,recomendacion,empatico,web,594,3,Se recomendó practicar ejercicios de SQL.
181,110,2025-07-18 16:38:04,diagnostico,empatico,email,231,5,Se recomendó practicar ejercicios de SQL.
182,116,2025-10-14 02:05:04,recomendacion,directo,web,503,1,Se revisó avance del hito Python básico.
183,5,2025-07-11 16:52:43,consulta_hito,didactico,movil,30,1,Se ajustó orden de hitos por disponibilidad.
184,167,2025-10-13 21:13:51,diagnostico,directo,web,168,3,Se explicó ruta de aprendizaje inicial.
185,52,2025-07-07 19:57:04,seguimiento,didactico,email,559,5,Se sugirió priorizar Inglés B1 antes de ML.
186,104,2025-04-18 07:38:00,motivacion,didactico,movil,90,2,Se sugirió priorizar Inglés B1 antes de ML.
187,126,2025-10-09 02:58:51,consulta_hito,empatico,movil,150,4,Se sugirió priorizar Inglés B1 antes de ML.
188,173,2025-04-15 04:54:23,seguimiento,estrategico,email,572,4,Se recomendó practicar ejercicios de SQL.
189,61,2025-06-23 23:42:22,motivacion,estrategico,movil,133,5,Se explicó ruta de aprendizaje inicial.
190,162,2025-08-30 15:36:49,recomendacion,estrategico,movil,46,5,Se ajustó orden de hitos por disponibilidad.
191,164,2025-08-12 06:11:08,consulta_hito,directo,web,163,1,Se revisó avance del hito Python básico.
192,31,2025-05-01 02:26:44,recomendacion,empatico,whatsapp,512,4,Se recomendó practicar ejercicios de SQL.
193,73,2025-09-28 08:04:19,recomendacion,didactico,web,66,1,Se revisó avance del hito Python básico.
194,108,2025-10-01 12:14:39,seguimiento,estrategico,whatsapp,572,4,Se sugirió priorizar Inglés B1 antes de ML.
195,103,2025-07-28 20:08:03,motivacion,didactico,email,331,1,Se sugirió priorizar Inglés B1 antes de ML.
196,52,2025-08-31 23:32:35,recomendacion,didactico,web,278,3,Se explicó ruta de aprendizaje inicial.
197,6,2025-09-09 03:44:07,consulta_hito,estrategico,whatsapp,240,4,Se revisó avance del hito Python básico.
198,10,2025-09-01 03:52:05,recomendacion,didactico,movil,490,4,Se explicó ruta de aprendizaje inicial.
199,29,2025-08-21 06:37:57,consulta_hito,didactico,movil,343,2,Se explicó ruta de aprendizaje inicial.
200,178,2025-08-26 06:34:27,motivacion,didactico,web,198,3,Se recomendó practicar ejercicios de SQL.
201,29,2025-06-05 22:21:40,motivacion,directo,email,438,2,Se sugirió priorizar Inglés B1 antes de ML.
202,77,2025-07-04 09:10:55,diagnostico,estrategico,whatsapp,552,5,Se ajustó orden de hitos por disponibilidad.
203,146,2025-08-12 11:06:26,motivacion,didactico,whatsapp,303,4,Se sugirió priorizar Inglés B1 antes de ML.
204,64,2025-07-29 03:31:39,recomendacion,estrategico,whatsapp,241,3,Se recomendó practicar ejercicios de SQL.
205,19,2025-07-31 19:03:07,motivacion,empatico,email,598,5,Se ajustó orden de hitos por disponibilidad.
206,63,2025-07-07 08:49:59,recomendacion,estrategico,email,306,2,Se ajustó orden de hitos por disponibilidad.
207,70,2025-09-10 09:40:17,recomendacion,empatico,movil,164,2,Se explicó ruta de aprendizaje inicial.
208,152,2025-08-09 15:53:39,motivacion,didactico,movil,503,2,Se ajustó orden de hitos por disponibilidad.
209,172,2025-07-17 21:53:44,diagnostico,directo,movil,121,1,Se ajustó orden de hitos por disponibilidad.
210,115,2025-05-24 08:09:17,diagnostico,directo,web,505,1,Se sugirió priorizar Inglés B1 antes de ML.
211,84,2025-07-30 05:49:33,motivacion,estrategico,movil,308,4,Se recomendó practicar ejercicios de SQL.
212,87,2025-10-04 18:04:33,motivacion,directo,movil,53,2,Se explicó ruta de aprendizaje inicial.
213,11,2025-07-30 09:40:19,recomendacion,didactico,whatsapp,405,1,Se revisó avance del hito Python básico.
214,186,2025-06-29 23:37:42,motivacion,empatico,web,159,3,Se explicó ruta de aprendizaje inicial.
215,35,2025-05-18 18:57:43,consulta_hito,didactico,whatsapp,417,3,Se ajustó orden de hitos por disponibilidad.
216,181,2025-09-03 06:59:44,consulta_hito,estrategico,whatsapp,497,1,Se ajustó orden de hitos por disponibilidad.
217,111,2025-05-04 20:11:14,motivacion,directo,web,282,3,Se ajustó orden de hitos por disponibilidad.
218,77,2025-06-16 15:59:24,recomendacion,estrategico,email,412,2,Se explicó ruta de aprendizaje inicial.
219,19,2025-06-29 17:48:52,motivacion,estrategico,web,224,3,Se revisó avance del hito Python básico.
220,49,2025-09-09 10:09:47,consulta_hito,directo,web,269,2,Se recomendó practicar ejercicios de SQL.
221,118,2025-07-26 21:38:07,consulta_hito,estrategico,email,227,1,Se explicó ruta de aprendizaje inicial.
222,78,2025-07-03 07:16:13,seguimiento,didactico,email,568,1,Se explicó ruta de aprendizaje inicial.
223,142,2025-08-04 01:43:08,consulta_hito,estrategico,email,66,2,Se explicó ruta de aprendizaje inicial.
224,166,2025-10-10 10:53:02,seguimiento,estrategico,web,491,3,Se revisó avance del hito Python básico.
225,10,2025-07-30 12:43:06,consulta_hito,estrategico,web,173,2,Se ajustó orden de hitos por disponibilidad.
226,94,2025-04-22 10:23:42,consulta_hito,directo,whatsapp,447,4,Se recomendó practicar ejercicios de SQL.
227,47,2025-09-25 08:52:12,recomendacion,directo,movil,220,2,Se ajustó orden de hitos por disponibilidad.
228,40,2025-07-03 23:53:01,diagnostico,directo,web,152,3,Se sugirió priorizar Inglés B1 antes de ML.
229,147,2025-05-16 01:47:44,consulta_hito,directo,web,250,1,Se revisó avance del hito Python básico.
230,51,2025-07-11 17:02:45,seguimiento,didactico,email,84,1,Se sugirió priorizar Inglés B1 antes de ML.
231,117,2025-08-24 00:52:18,diagnostico,didactico,email,160,4,Se ajustó orden de hitos por disponibilidad.
232,157,2025-08-17 02:42:56,recomendacion,directo,web,192,3,Se recomendó practicar ejercicios de SQL.
233,54,2025-04-25 23:23:04,diagnostico,directo,movil,584,3,Se sugirió priorizar Inglés B1 antes de ML.
234,44,2025-07-04 11:12:19,diagnostico,directo,whatsapp,149,1,Se revisó avance del hito Python básico.
235,139,2025-07-28 03:55:40,seguimiento,empatico,web,108,4,Se revisó avance del hito Python básico.
236,42,2025-05-25 15:02:36,recomendacion,empatico,whatsapp,74,4,Se sugirió priorizar Inglés B1 antes de ML.
237,67,2025-09-30 20:25:28,diagnostico,didactico,email,343,3,Se sugirió priorizar Inglés B1 antes de ML.
238,28,2025-06-14 05:29:41,recomendacion,empatico,email,383,5,Se revisó avance del hito Python básico.
239,138,2025-09-22 08:38:24,consulta_hito,didactico,movil,362,5,Se explicó ruta de aprendizaje inicial.
240,47,2025-06-03 14:48:30,recomendacion,empatico,whatsapp,409,4,Se ajustó orden de hitos por disponibilidad.
241,73,2025-07-12 03:08:44,motivacion,directo,movil,512,2,Se revisó avance del hito Python básico.
242,116,2025-05-03 20:12:46,consulta_hito,empatico,movil,101,1,Se explicó ruta de aprendizaje inicial.
243,31,2025-09-29 00:48:02,motivacion,empatico,movil,369,5,Se sugirió priorizar Inglés B1 antes de ML.
244,191,2025-04-23 14:57:45,diagnostico,didactico,web,511,3,Se explicó ruta de aprendizaje inicial.
245,162,2025-06-30 19:06:05,motivacion,directo,whatsapp,121,5,Se ajustó orden de hitos por disponibilidad.
246,159,2025-07-11 00:05:05,recomendacion,directo,whatsapp,127,4,Se explicó ruta de aprendizaje inicial.
247,45,2025-06-11 08:45:56,consulta_hito,didactico,email,275,2,Se revisó avance del hito Python básico.
248,143,2025-09-27 16:18:28,consulta_hito,directo,web,384,3,Se revisó avance del hito Python básico.
249,37,2025-05-18 02:04:27,seguimiento,directo,email,343,3,Se ajustó orden de hitos por disponibilidad.
250,166,2025-08-30 18:07:11,consulta_hito,directo,web,567,2,Se revisó avance del hito Python básico.
251,75,2025-07-27 13:13:29,recomendacion,didactico,web,327,5,Se ajustó orden de hitos por disponibilidad.
252,128,2025-10-18 17:13:07,motivacion,estrategico,web,292,4,Se explicó ruta de aprendizaje inicial.
253,43,2025-04-08 05:11:26,recomendacion,didactico,whatsapp,88,5,Se recomendó practicar ejercicios de SQL.
254,49,2025-09-25 06:26:27,seguimiento,estrategico,movil,421,4,Se revisó avance del hito Python básico.
255,41,2025-08-05 03:15:22,seguimiento,directo,whatsapp,204,4,Se sugirió priorizar Inglés B1 antes de ML.
